,Question
686,"
<p>What does the following Java code print?</p>
<pre lang=""text/x-java"">int outer=0;
int inner=0;
for (int i=0; i&lt;6; i++) {
   outer++;
   for (int j=0; j&lt;=i; j++) {
      inner++;
   }
}
System.out.println(""outer ""+outer+"", inner ""+inner);
</pre>
"
687,"
<p>What does the following Java code print?</p>
<pre lang=""text/x-java"">int outer=0;
for (int i=0; i&lt;12; i++) {
   if (i % 2 == 0) {
      outer++;
   }
}
System.out.println(outer);
</pre>
"
688,"
<p>How many times does the following Java code print ""hello world""?</p>
<pre lang=""text/x-java"">for (int i=10; i&gt;=4; i++) {
   System.out.print(""hello world"");
}
</pre>
"
689,"
<p>What does the following Java code print?</p>
<pre lang=""text/x-java"">for (int i=6; i&gt;=2; i--) {
   System.out.print(i+"" "");
}
</pre>
"
690,"<p>You are storing a complete binary tree in an array, with the root at index 0. At what index is node i's left child?&nbsp;</p>"
691,"
<p>Consider the following Python code:</p>
<pre lang=""text/x-python"">in_str = input(&rsquo;Enter a string: &rsquo;)
a = &rsquo;&rsquo;
d = 0
r = 1

for c in &rsquo;abcdefghijklmnopqrstuvwxyz&rsquo;:
   if c in in_str:
      a = c + a
   else:
      d = d + 1
r += 2

print(a) # Line 1
print(d) # Line 2
print(r) # Line 3
</pre>
"
692,"
<p>Consider the following Python code:</p>
<pre lang=""text/x-python"">s = input(&rsquo;Enter a string: &rsquo;)
w = &rsquo;&rsquo;
for c in s:
   if c in ""0123456789"":
      #REPLACE
   else:
      w = w + c
print w
</pre>
<p>&nbsp;</p>
<p>What replacement for the comment #REPLACE will cause the program to print the input string with all of the digits removed?&nbsp; In other words, for the 'aaa3b3c1', we would print 'aaabc'.</p>
"
693,"
<p>Consider the following Python code:</p>
<pre lang=""text/x-python"">s = input(&rsquo;Enter a string: &rsquo;)
w = &rsquo;&rsquo;
for c in s:
   if c in ""0123456789"":
      #REPLACE
   else:
      w = w + c
print(w)
</pre>
<p>&nbsp;</p>
<p>What replacement statement for the comment <code>#REPLACE <span style=""font-family: arial,helvetica,sans-serif;"">will cause the code to print out all of the characters up to the first digit?&nbsp; In other words, if the input is 'aaa3bb3c1', we should output 'aaa'.</span></code></p>
"
694,<p>Searching a heap is</p>
695,<p>What is the heap condition?</p>
696,<p>Why can a heap be efficiently implemented using an array instead of a linked structure?</p>
697,"
<p>You have a class Custom:</p>
<pre lang=""text/x-java"">class Custom {
  private int i;
  ...
  public String toString() {
    return """" + i;
  }
}
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Consider this code, which prints a Custom instance:</span></p>
<code>Custom a = ...;</code><p><span style=""font-family: arial, helvetica, sans-serif;""><code>System.out.println(a);</code><br></span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;""><span style=""font-family: arial, helvetica, sans-serif;"">What overloaded version of PrintStream.println is called?</span></span></p>
"
698,"
<p>What does the following Java code print?</p>
<pre lang=""text/x-java"">int sum=0;
for (int i=1; i&lt;=5; i++) {
   sum += i;
}
System.out.println(sum);
</pre>
"
699,"
<p>What does the following Java code print?</p>
<pre lang=""text/x-java"">int sum=0;
for (int i=0; i&lt;10; i+=4) {
   sum += i;
}
System.out.println(sum);
</pre>
"
700,"
<p>What does the following Java code print?</p>
<pre lang=""text/x-java"">int sum=0;
for (int i=0; i&gt;100; i++) {
   sum += i;
}
System.out.println(sum);
</pre>
"
701,"
<p>Suppose the following Java code prints ""statement 2"":</p>
<pre lang=""text/x-java"">if (num &lt; 6) {
   System.out.println(""statement 1"");
} else {
   System.out.println(""statement 2"");
}
</pre>
<p>&nbsp;</p>
<p>What must be true about num?</p>
"
702,"<p>Suppose <code>a</code> is <code>true<span style=""font-family: arial, helvetica, sans-serif;"">,</span></code><span style=""font-family: arial, helvetica, sans-serif;"">&nbsp;<code>b</code> is <code>false<span style=""font-family: arial, helvetica, sans-serif;"">, and <code>c</code> is <code>false</code></span></code>. Which of the following expressions is <code>true</code>?</span></p>"
703,<p>Only one of the following will not compile and run under Quick C. Which one?</p>
704,"
<p>What is output by the code shown in the question below. Think about it carefully - it may be a bit tricky!</p>
<p>void main (void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; #define LIMIT 8</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int i = 0;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; while ( i++ &lt; LIMIT )</p>
<p>&nbsp;&nbsp;&nbsp; {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if ( i )</p>
<p>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; printf( ""%d"", LIMIT - i );</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
"
705,"
<p>You are preparing test data for this function that accepts a day of the month (as a number) from the user:</p>
<p>int iGetDay(int iMonth);</p>
<p>You are currently working with a month value of 5 (May). What should your boundary test values be for iGetDay?</p>
"
706,"
<p>How many times will the printf statement be executed in this code?</p>
<p>In each case assume the definition</p>
<p>int i = 0;</p>
<p>WARNING There are some very nasty traps in some of the code here. LOOK AT IT ALL VERY CAREFULLY!</p>
<p>&nbsp;do</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Count me!"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; i++;</p>
<p>} while(++i &lt; 10);</p>
"
707,"
<p>The worst-case analysis (Big-Oh) of the following Java code is:</p>
<pre lang=""text/x-java"">for (j=0; j&lt;n; j++) {
   for (k=0; k&lt;n; k++) {
      base = base * 2;
   }
</pre>
<p><code>}</code></p>
"
708,"
<p>The worst-case analysis (Big-Oh) of the following Java&nbsp;code is:</p>
<p><br><code>for (j=0; j&lt;n; j++) {</code></p>
<pre lang=""text/x-java"">   base = base * 2;
}
</pre>
<p></p>
"
709,"
<p>Consider the following Java code:</p>
<pre lang=""text/x-java"">public interface StackADT&lt;T&gt; { // 1
   public void push (T element);
   public T pop();
   public T peek();
   public boolean isEmpty(); 
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">The capital letter &ldquo;T&rdquo; on line 1 stands for:</span></p>
"
710,<p>The <code>StackADT</code>'s <code>push</code> operation:</p>
711,<p>Suppose you are trying to choose between an array and a linked list to store the data in your Java program. Which data structure can change size as needed while the program is running?</p>
712,"
<p>Suppose&nbsp;<code>StackADT</code>&nbsp;is implemented in Java using a linked list. The big-Oh time complexity of the following <code>pop</code> method is:</p>
<pre lang=""text/x-java"">public T pop() {
   T tmp;
   if (this.top == null) 
      tmp = null;
   else {
      tmp = this.top.getElement();
      this.top = this.top.getNext();
   }
   return tmp;
}
</pre>
"
713,"
<p>Consider the following Java method:</p>
<pre lang=""text/x-java"">public T pop() { \\ 1
   T tmp; \\ 2
   if (this.top == null) \\ 3
      tmp = null; \\ 4
   else { \\ 5
      tmp = this.top.getElement(); \\ 6
      this.top = this.top.getNext(); \\ 7
   } \\ 8
   return tmp; \\ 9
} \\ 10
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">What would happen if line 7 were before line 6?</span></p>
"
714,"
<p>Consider the following Java method:</p>
<pre lang=""text/x-java"">public T pop() { // 1
   T tmp; // 2
   if (this.top == null) // 3
      tmp = null; // 4
   else { // 5
      tmp = this.top.getElement(); // 6
      this.top = this.top.getNext(); // 7
   } // 8
   return tmp; // 9
} // 10
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">What would happen if line 7 were before line 6?</span></p>
"
715,"
<p>What is output by the code shown below. Think about it carefully - it may be a bit tricky!</p>
<p>#define DEF_1 (2 + 2)</p>
<p>#define DEF_2 DEF_1 - DEF_1</p>
<p>int main(void)</p>
<p>{</p>
<p>printf(""%d"", DEF_2);</p>
<p>}</p>
"
716,"
<p>What is output by the code shown below. Think about it carefully -it may be a bit tricky!</p>
<p>void main( void )</p>
<p>{</p>
<p>static char szCode[] = ""111"";</p>
<p>szCode[2] = '0';</p>
<p>puts( szCode );</p>
<p>}</p>
"
717,<p>What would be the performance of removeMin and insert methods in a priority queue if it is implemented by an unsorted list?</p>
718,"
<p>Consider this code. It is part of a program that receives MMP list votes from constituencies and stores them in a database. The field PartyName stores the names of each party involved, and the field VoteTotal keeps a running total of list votes for a party. Tally is a table-type Recordset.</p>
<p>Do</p>
<p>&nbsp;&nbsp; ' Get a name and vote pair from the newly arrived text</p>
<p>&nbsp;&nbsp; ' Returns 0 when there are no more pairs</p>
<p>&nbsp;&nbsp; Start% = ExtractNextPair((txtData.Caption), Start%,_<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; PartyName$,_Votes&amp;)</p>
<p>&nbsp;&nbsp; If Start% &gt; 0 Then</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; ' See if the party name is already present</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; KeyField$ = UCase$(Trim$(PartyName$))</p>
<p>&nbsp;&nbsp;&nbsp; Tally.Seek ""="", KeyField$</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; If Tally.NoMatch Then</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ' Add a new record</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tally.AddNew</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tally(""PartyName"") = KeyField$</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tally(""VoteTotal"") = Votes</p>
<p>&nbsp;&nbsp;&nbsp; Else</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ' Update the existing record - add latest votes</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tally.Edit</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tally(""VoteTotal"") = Tally(""VoteTotal"") + Votes</p>
<p>&nbsp;&nbsp;&nbsp; End If</p>
<p>&nbsp; End If</p>
<p>Loop While Start% &gt; 0</p>
<p>Tally.Update</p>
<p>Why does this code not successfully store all the incoming data?</p>
"
720,"
<p>Consider these lines of code:</p>
<p>txtName.SetFocus</p>
<p>txtName.SelStart = 0</p>
<p>txtName.SelLength = Len(txtName.Text)</p>
<p>txtName is an edit text box which is currently visible.</p>
<p>The code may cause a run time error. This will happen if:</p>
"
721,"<p>What would be the minimum number of required queue, to implement a stack?</p>"
722,<p>Which data structures would be proper in terms of performance to implement flight waiting lists?</p>
723,"<p>To implement student's database, which data structure is more appropriate?</p>"
724,"
<p>Using double hashing and following hash function and data, in which array slot number 31 will be inserted*?</p>
<p>N = 13</p>
<p>h(k) = k mod 13</p>
<p>d(k) = 7 - k mod 7</p>
<p>(h(k) + jd(k)) mod 13</p>
<p>18, 41, 22, 44, 59, 32, 31, 73</p>
<p>*Credit goes to Goodrich et.al. (Data Structures &amp; Algorithms in Java)</p>
"
725,"
<p>Given the declaration</p>
<p><strong>Public StudentRecords as Collection</strong></p>
<p>What line of code is required before the first student record is added to the collection?</p>
"
727,"
<p>The following processes are arranged in alphabetical order:</p>
<p>1 Application event procedure is called.</p>
<p>2 Event procedure code is executed.</p>
<p>3 User clicks on a button with the mouse.</p>
<p>4 Windows detects an event.</p>
<p>5 Windows passes a message to the application containing the button.</p>
<p>In what order will these processes normally occur in a Visual Basic application?</p>
"
728,"
<p>This Perl script does not work correctly. It is supposed to work out the average assessment mark for a student who has 6 marked exercises.</p>
<p>Whatever data the student enters, the script always displays an average mark of zero.</p>
<p>Note that line numbers have been added for reference only &ndash; they are not part of the script</p>
<p>1 my $total = 0;</p>
<p>2</p>
<p>3 for(my $mk = 1; $mk &lt;= 6; $mk++)</p>
<p>4 {</p>
<p>5&nbsp;&nbsp;&nbsp;&nbsp; print ""Enter mark $mk: "";</p>
<p>6&nbsp;&nbsp;&nbsp;&nbsp; my $mark = &lt;STDIN&gt;;</p>
<p>7&nbsp;&nbsp;&nbsp;&nbsp; my $total += $mark;</p>
<p>8 }</p>
<p>9</p>
<p>10 my $average = $total / 6;</p>
<p>11 print ""Average mark = $average.\n"";</p>
<p>What is the problem?</p>
"
729,"
<p>This Perl subroutine does not work correctly. It is supposed to work out whether or not a person qualifies for a discount and return the correct fare, discounted or not as the case may be. Children under 13, and elderly people 65 and over qualify for a discount.</p>
<p>The subroutine never gives a discount</p>
<p>Note that line numbers have been added for reference only &ndash; they are not part of the script</p>
<p>1 sub getDiscount</p>
<p>2 {</p>
<p>3&nbsp;&nbsp; my $age = $_[0]; # First parameter is age</p>
<p>4&nbsp;&nbsp; my $fare = $_[1]; # Second parameter is fare</p>
<p>5</p>
<p>6 &nbsp; if(($age &lt; 13) &amp;&amp; ($age &gt;= 65))</p>
<p>7&nbsp;&nbsp; {</p>
<p>8 &nbsp; $fare *= 0.9; # 10% discount</p>
<p>9&nbsp;&nbsp; }</p>
<p>11</p>
<p>12&nbsp;&nbsp; return $fare;</p>
<p>13 }</p>
<p>What is the problem?</p>
"
730,"
<p>This Bash command was supposed to run a Perl script, exE1.pl from a University student's bin directory on the Cislinux server, passing it a command line argument which was a text file in the copy area. It was supposed to put the results into a text file in the student's bin directory.</p>
<p>~/bin/exE1.pl /copy/ex/exe-1.txt &gt; /bin/exe1out.txt</p>
<p>Why will this give an error?</p>
"
731,"
<p>The following is a skeleton for a method called ""maxPos"":</p>
<pre lang=""text/x-java"">public static int maxPos(int[] y, int first, int last) {
/* This method returns the position of the maximum element in the
* subsection of the array ""y"", starting at position
* ""first"" and ending at position ""last"".
*/

int bestSoFar = first;

xxx missing for loop goes here

return bestSoFar;

} // method maxPos
</pre>
<p>&nbsp;</p>
<p>In this question, the missing ""for"" loop is to run ""forwards"". That is, the code should search the array from the low subscripts to the high subscripts. Given that, the correct code for the missing ""for"" loop is:</p>
"
732,"
<p class=""MsoPlainText""><span style=""font-family: 'Times New Roman','serif';""><span style=""font-family: arial,helvetica,sans-serif;"">The following is a skeleton for a method called ""maxPos"":<br></span></span></p>
<pre lang=""text/x-java"">public static int maxPos(int[] y, int first, int last) {
/* This method returns the position of the maximum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".

 */

  int bestSoFar = first;

  xxx missing for loop goes here

</pre>
<p>&nbsp;</p>
<p><code>&nbsp;</code> &nbsp;<code>return bestSoFar;</code></p>
<code>} // method maxPos</code><p>&nbsp;</p>
<p><span style=""font-family: arial,helvetica,sans-serif;"">In this question<span>, the missing ""for"" loop is to run ""backwards"".&nbsp; That is, the code should search the array f<span>rom the high subscripts to the low subscripts.&nbsp; Given that, the correct code for the missing ""for"" loop is:</span></span></span></p>
"
733,"
<p>The following code for a method ""minVal"" contains a logic error on a single line in the method body, on one of the four lines indicated by comments:<br><br><code>public static int minVal(int[] y, int first, int last) {</code></p>
<pre lang=""text/x-java"">/* This method returns the value of the minimum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".
 */
 
  int bestSoFar = first;             // line 1
 
  for (int i=first+1; i&lt;=last; i++) 
  {
    if ( y[i] &lt; bestSoFar )          // line 2
</pre>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bestSoFar = y[i];&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 3</code><br><br><code>&nbsp; } // for</code><br><br><code>&nbsp; return bestSoFar;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 4</code><br><br><code>} // method minVal</code><br><br>Which one of the four lines indicated by the comments contains the logic error?</p>
"
734,"
<p>The following code for a method ""minVal"" contains a logic error on a single line in the method body, on one of the four lines indicated by comments:<br><br><code>public static int minVal(int[] y, int first, int last) {</code></p>
<pre lang=""text/x-java"">/* This method returns the value of the minimum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".
 */
 
  int bestSoFar = first;             // line 1
 
  for (int i=first+1; i&lt;=last; i++)
  {
    if ( y[i] &gt; bestSoFar )          // line 2
</pre>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bestSoFar = y[i];&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 3</code><br><br><code>&nbsp; } // for</code><br><br><code>&nbsp; return bestSoFar;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 4</code><br><br><code>} // method minVal</code><br><br>Which one of the four lines indicated by the comments contains the logic error?</p>
"
735,"
<p>The following code for a method ""minVal"" contains a logic error on a single line in the method body, on one of the four lines indicated by comments:<br><br><code>public static int minVal(int[] y, int first, int last) {</code></p>
<pre lang=""text/x-java"">/* This method returns the value of the minimum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".
 */
 
  int bestSoFar = y[first];          // line 1
 
  for (int i=first+1; i&lt;=last; i++)
  {
</pre>
<p><code>&nbsp;&nbsp;&nbsp; if ( bestSoFar </code><code><code>&lt; </code></code><code><code>y[i] </code>)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 2</code></p>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bestSoFar = y[i];&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 3</code><br><br><code>&nbsp; } // for</code><br><br><code>&nbsp; return bestSoFar;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 4</code><br><br><code>} // method minVal</code><br><br>Which one of the four lines indicated by the comments contains the logic error?</p>
"
736,"
<p>Does this compile?</p>
<code>int x=7.0</code>
"
737,"
<p>What does this print?</p>
<pre lang=""text/x-java"">double d = 8 / 10;
System.out.println(d);
</pre>
"
738,"<p>After the assignments <code>x = 27</code> and <code>y = 12</code>, what is returned by <code>x%y</code>?</p>"
739,"<p>After the assignments <code>x = 27</code> and <code>y = 12</code>, what is returned by <code>not x &lt;= y &lt; x + y</code> ?</p>"
740,<p>Which of the following assertions about the effect of <code>int(my_var)</code> is correct?</p>
741,"
<p>The following methods are in Java's String class:</p>
<ul>
<li>int indexOf(int ch) -&nbsp;Returns the index within this string of the first occurrence of the specified character.</li>
<li>int indexOf(int ch, int fromIndex) -&nbsp;Returns the index within this string of the first occurrence of the specified character, starting the search at the specified index.</li>
<li>String substring(int beginIndex, int endIndex) -&nbsp;Returns a new string that is a substring of this string.&nbsp;The substring begins at the specified beginIndex and extends to the character at index endIndex - 1. Thus the length of the substring is endIndex-beginIndex.</li>
</ul>
<p>Given these specifications, what does the following code print?</p>
<pre lang=""text/x-java"">String s = ""ichi,ni,san,go"";
int i1 = s.indexOf(',');
int i2 = s.indexOf(',', i1);
System.out.println(s.substring(i1, i2));
</pre>
"
742,"
<p>The following is a skeleton for a method called ""minPos"":</p>
<pre lang=""text/x-java"">public static int minPos(int[] y, int first, int last) {
/* This method returns the position of the minimum element in the
* subsection of the array ""y"", starting at position
* ""first"" and ending at position ""last"".
*/

  int bestSoFar = first;

  xxx missing for loop goes here

  return bestSoFar;

} // method minPos
</pre>
<p>&nbsp;</p>
<p>In this question, the missing ""for"" loop is to run ""backwards"". That is, the code should search the array from the high subscripts to the low subscripts. Given that, the correct code for the missing ""for"" loop is:</p>
"
